CustCode,Name,Postcode,Date of Birth,Validuntil
C1Will,Kien-Hong Tay Abela,3053,29/11/1999,
C3Carl,Muhamad Law Aggarwal,3005,18/03/1939,
C4SthMelb,Xiaodan Martinez Aggarwal,3056,19/09/1943,
C6Carl,Yi James Aggarwal,3065,4/11/1995,
C7Will,Sabbir Ling Ahmed,3040,15/05/1957,
C10Carl,Tong Shi Alexander,3002,4/03/1945,13/07/2012
C10Carl,Tong Shi Alexander,3053,4/03/1945,
C12Will,Jacky Kassianos Ali,3041,21/11/1997,
C13Carl,Eugene Lim Ali,3002,11/04/1944,
C14Will,Daniel Gerald Ali,3052,15/11/1968,
C15Carl,Michael Sam Alihos,3068,11/05/1939,
C16Carl,Tzu Man-Wai Almessabi,3520,12/06/1955,
C18Carl,Qi Siddique Almessabi,3005,22/05/1976,
C20Will,George Patel Alvarado,3173,17/02/1969,
C21Carl,Weng Ma Alvarado,3040,15/06/1953,
C22Carl,Prasanna DelCiotto Alvarado,3005,16/03/1990,
C23Carl,Bo-Youn Wandera Alwuthaynani,3056,6/06/1949,
C24Carl,Jessica Danbo Alwuthaynani,3052,10/02/1946,
C25Carl,Igor Hwei Alwuthaynani,3053,21/05/1981,
C27Carl,David Dedeche Alwuthaynani,3040,24/04/1982,
C29Will,Stanley Chan Andrew,3005,31/12/1996,
C30SthMelb,Eugene Ting Andrew,3015,31/08/1980,17/02/2013
C30SthMelb,Eugene Ting Andrew,3016,31/08/1980,4/06/2013
C30SthMelb,Eugene Ting Andrew,3018,31/08/1980,4/02/2015
C30SthMelb,Eugene Ting Andrew,3040,31/08/1980,
C31Will,Yunfei Dobson Andrew,3041,10/11/1995,
C32Carl,Diana Esteban Andrew,3053,10/11/1992,
C33Will,Tong Charles Andrew,3052,12/07/1962,
C34SthMelb,Roselle Siourthas Andy,3040,1/05/2003,
C36Carl,Kevin Andrew Andy,3053,15/03/1985,
C38SthMelb,Vonny Marieta Andy,3040,14/11/1943,
C39Carl,Bei Chi Ang,3040,6/12/1957,
